Datetime,Y,O,return_y,return_0,diff
2014/01/23-14:45,6808,6970,0,0.000287026,-0.000287026
2014/01/23-14:50,6804,6968,-0.000587544,-0.000286944,-0.0003006
2014/01/23-14:55,6802,6968,-0.000293945,0,-0.000293945
2014/01/23-15:00,6800,6970,-0.000294031,0.000287026,-0.000581058
2014/01/24-09:05,6796,6976,-0.000588235,0.000860832,-0.001449067
2014/01/24-09:10,6794,6976,-0.000294291,0,-0.000294291
2014/01/24-09:15,6796,6978,0.000294377,0.000286697,7.68E-06
2014/01/24-09:20,6792,6974,-0.000588582,-0.00057323,-1.54E-05
2014/01/24-09:25,6794,6976,0.000294464,0.000286779,7.68E-06
2014/01/24-09:30,6796,6982,0.000294377,0.000860092,-0.000565714
2014/01/24-09:35,6800,6990,0.000588582,0.001145803,-0.000557222
2014/01/24-09:40,6800,6992,0,0.000286123,-0.000286123
2014/01/24-09:45,6796,6992,-0.000588235,0,-0.000588235
2014/01/24-09:50,6794,6994,-0.000294291,0.000286041,-0.000580332
2014/01/24-09:55,6798,6998,0.000588755,0.000571919,1.68E-05
2014/01/24-10:00,6796,6998,-0.000294204,0,-0.000294204
2014/01/24-10:05,6798,6998,0.000294291,0,0.000294291
2014/01/24-10:10,6796,7000,-0.000294204,0.000285796,-0.00058
2014/01/24-10:15,6798,6998,0.000294291,-0.000285714,0.000580005
2014/01/24-10:35,6798,6998,0,0,0
2014/01/24-10:40,6800,7000,0.000294204,0.000285796,8.41E-06
2014/01/24-10:45,6796,7000,-0.000588235,0,-0.000588235
2014/01/24-10:50,6798,6998,0.000294291,-0.000285714,0.000580005
2014/01/24-10:55,6776,6982,-0.003236246,-0.002286368,-0.000949878
2014/01/24-11:00,6776,6982,0,0,0
2014/01/24-11:05,6778,6982,0.000295159,0,0.000295159
2014/01/24-11:10,6776,6988,-0.000295072,0.000859353,-0.001154425
2014/01/24-11:15,6770,6984,-0.000885478,-0.00057241,-0.000313068
2014/01/24-11:20,6776,6986,0.000886263,0.000286369,0.000599894
2014/01/24-11:25,6774,6988,-0.000295159,0.000286287,-0.000581446
2014/01/24-11:30,6772,6988,-0.000295247,0,-0.000295247
2014/01/24-13:35,6772,6984,0,-0.00057241,0.00057241
2014/01/24-13:40,6776,6988,0.000590667,0.000572738,1.79E-05
2014/01/24-13:45,6766,6988,-0.001475797,0,-0.001475797
2014/01/24-13:50,6762,6980,-0.000591191,-0.00114482,0.000553628
2014/01/24-13:55,6764,6982,0.00029577,0.000286533,9.24E-06
2014/01/24-14:00,6774,6990,0.001478415,0.001145803,0.000332612
2014/01/24-14:05,6772,6988,-0.000295247,-0.000286123,-9.12E-06
2014/01/24-14:10,6768,6980,-0.000590667,-0.00114482,0.000554152
2014/01/24-14:15,6760,6982,-0.001182033,0.000286533,-0.001468566
2014/01/24-14:20,6766,6986,0.000887574,0.000572902,0.000314672
2014/01/24-14:25,6766,6980,0,-0.000858861,0.000858861
2014/01/24-14:30,6762,6980,-0.000591191,0,-0.000591191
2014/01/24-14:35,6764,6972,0.00029577,-0.001146132,0.001441902
2014/01/24-14:40,6764,6976,0,0.000573723,-0.000573723
2014/01/24-14:45,6764,6980,0,0.000573394,-0.000573394
2014/01/24-14:50,6764,6972,0,-0.001146132,0.001146132
2014/01/24-14:55,6760,6974,-0.000591366,0.000286862,-0.000878228
2014/01/24-15:00,6750,6974,-0.00147929,0,-0.00147929
2014/01/27-09:05,6738,6966,-0.001777778,-0.001147118,-0.00063066
2014/01/27-09:10,6738,6958,0,-0.001148435,0.001148435
2014/01/27-09:15,6734,6948,-0.000593648,-0.001437195,0.000843547
2014/01/27-09:20,6730,6952,-0.000594001,0.000575705,-0.001169706
2014/01/27-09:25,6720,6932,-0.001485884,-0.00287687,0.001390986
2014/01/27-09:30,6722,6932,0.000297619,0,0.000297619
2014/01/27-09:35,6718,6928,-0.000595061,-0.000577034,-1.80E-05
