day,count,dkim,pass_vs_block,pass_vs_maybe,percent_spam,recipients,sanitation_checks,size,spamscore,timing
07-17,2477,0.802786709539121,0.0127001656543346,0.165655622958469,0.0109704641350211,1.05433746425167,12.2236306020824,54315.0811465482,1.05377818017202,1650.91158659669
07-18,5350,0.853027473993065,0.0238993710691824,0.166845608761005,0.0223808605054987,1.0752856822765,12.5060337892196,67044.2542056075,1.88619650040225,2016.27289719626
07-19,6027,0.843270440251572,0.0348093772199858,0.165438165438165,0.0299217953077185,1.0622576475657,12.5580545943868,52000.6757922681,2.05185005767013,2022.62369337979
07-20,5432,0.843766438716465,0.0294273594909862,0.184995547640249,0.0225122966326145,1.06478482184174,13.1762013729977,56331.6435935199,2.79801310588723,1717.42875552283
07-21,6086,0.850450846712118,0.0134845890410959,0.119411539931219,0.0107637109174782,1.1041928721174,11.8765982177451,50526.8514623727,0.304229174738474,1497.45793624712
07-22,5835,0.84375,0.0185950413223141,0.142599277978339,0.0116937694134844,1.12131669763738,12.928079753145,50363.1132819195,1.99673344410159,1178.84524421594
07-23,5566,0.844797178130511,0.013571869216533,0.185845213849287,0.00405754334194024,1.03848051307351,12.373023255814,20361.4599353216,1.28580279069768,935.270930650377
07-24,5885,0.848455598455598,0.011544804837823,0.220294882914137,0.0036231884057971,1.06537102473498,12.9127659574468,23067.8870008496,1.67102256279268,958.13950722175
07-25,6870,0.837589883461443,0.0124676546694895,0.112285895538169,0.00800593031875463,1.14084507042254,11.3816987926287,53735.2449781659,-0.663216903198478,1239.3423580786
07-26,5506,0.843301699404105,0.0121438580102756,0.148207813129279,0.0096403411197627,1.06388152077807,12.1131089274514,79853.17853251,0.105860518611461,1808.26062477298
07-27,5192,0.842874251497006,0.00972568578553616,0.120682019486271,0.00777511961722488,1.05860378239552,11.997305187514,56574.2621340524,-0.553964293734566,1409.41024653313
07-28,5003,0.858433734939759,0.0127979924717691,0.108542941309767,0.0105111294311624,1.05908768612621,12.0139294540553,98655.0851489107,-0.421711076162655,1448.76793923646
07-29,4181,0.843988269794721,0.00970285021224985,0.12180693734875,0.00814211695040711,1.07127010537992,12.0692225772098,59574.0619469027,-0.794110756123532,1395.83759866061
07-30,2334,0.82237539766702,0.0154320987654321,0.200901803607214,0.0112309074573226,1.04255319148936,12.8105810108644,76813.6148243359,0.836830420406234,1306.72279348758
07-31,2500,0.850308641975309,0.0112299465240642,0.136384866884633,0.00881982360352793,1.0561320754717,12.2862994993173,66985.318,0.0471137915339098,1221.17
08-01,4982,0.865872210953347,0.0087543771885943,0.118353726362625,0.00719424460431655,1.08082975679542,11.6173210161663,70476.8755519871,-0.840187572187568,1699.61461260538
08-02,5159,0.828930494998718,0.0102439024390244,0.130863139858642,0.00836820083682008,1.08313012635779,11.5371355607576,60779.6586547781,-0.470705682060012,1612.83911610777
08-03,4813,0.876071516042126,0.00750711881957028,0.0961810466760962,0.00644883920894239,1.07125603864734,11.8507114532307,59336.7963847912,-0.89245089806391,1637.4853521712
08-04,7138,0.913556618819777,0.00521852576647097,0.0749165908401577,0.00498054474708171,1.07469368520264,11.8940071556351,48524.9845895209,-0.501051431127013,1192.46441580275
08-05,5424,0.910635481023831,0.00727107475573733,0.0989894823674985,0.00610454025181229,1.05346534653465,12.2105119825708,45277.6141224189,-0.0777886710239659,1244.73525073746
08-06,2298,0.829145728643216,0.00561447286338116,0.196167423096319,0.00418604651162791,1.04829268292683,12.8629751290474,48919.318537859,1.33450586579071,1243.85813751088
08-07,2184,0.87683125339121,0.00436953807740325,0.177411036616813,0.00338164251207729,1.07805372529143,12.5341463414634,62847.8914835165,0.714328292682927,1275.60531135531
08-08,4485,0.864575163398693,0.00727272727272727,0.128652099189786,0.00600600600600601,1.06423173803526,12.0002411963338,68822.6960981048,-0.451764109985528,1386.35808249721
08-09,4984,0.87546468401487,0.00745526838966203,0.114216012419605,0.00627615062761506,1.12330928764653,12.0151745068285,62728.0553772071,-0.672855191849118,1410.0132423756
08-10,4545,0.871554993678887,0.00857678906459394,0.119495358248036,0.00723000451875282,1.14320685434517,12.0445590994371,60721.4695269527,-0.559985459662287,1359.9898789879
08-11,4726,0.859264670075481,0.0093233883857219,0.140711645101664,0.00761531766753699,1.05613701236917,11.944099378882,80332.6060093102,-0.447150908672646,1623.59796868388
08-12,4104,0.85297619047619,0.0115718418514947,0.169592222522279,0.00906116284923232,1.0722207195023,11.9509473137815,47302.4459064327,-0.0295349078640024,1363.66398635478
08-13,2264,0.817154596815614,0.0129032258064516,0.222955815134586,0.0092678405931418,1.04482071713147,12.8339676498573,50542.9620141343,1.45232064700286,1256.37720848057
08-14,2384,0.841277890466531,0.00470311581422693,0.214020427112349,0.0034349506225848,1.04519774011299,12.0777368905244,62055.4693791946,0.21801839926403,1250.26006711409
08-15,4910,0.83683041224389,0.011727078891258,0.143846686677442,0.00922818791946309,1.079971353545,11.9361309661056,48218.1226069246,-0.33934378602721,1294.67881873727
08-16,5159,0.880069238377844,0.00874781304673831,0.121789193976971,0.00720865038045655,1.06261384335155,11.8631601920559,75351.4002713704,-0.928820165866429,1384.61097111843
08-17,2799,0.833607230895645,0.0108744902582691,0.135445544554455,0.00883327199116673,1.08209255533199,12.0046296296296,73823.5351911397,-0.562035493827162,1505.80350125045
08-18,3839,0.863989200134998,0.00751143043762247,0.123955030268089,0.00611864857674914,1.04720744680851,12.3762088974855,48049.9114352696,-0.492071566731136,1301.5339932274
08-19,4903,0.867090283293619,0.00874717832957111,0.126771066368382,0.00657197371210515,1.07295597484277,11.5971552555448,66381.8101162554,-0.601076422372224,1346.32571894758
08-20,3042,0.885094415427883,0.00700700700700701,0.174365376612568,0.00471221810838102,1.02868852459016,11.6844181459566,40415.8438527285,0.201960946745563,1174.2741617357
08-21,2796,0.855496088925484,0.00350877192982456,0.146048109965636,0.00258397932816537,1.07501071581655,12.015734989648,52770.6162374821,-0.128857556935817,1385.12446351931
08-22,5131,0.854611650485437,0.0060272536687631,0.159166481933053,0.00476782752902156,1.09051254089422,12.5989528795812,54805.6805690898,1.23016041884817,1369.35256285324
08-23,5708,0.838448049101271,0.00693802035152636,0.134971796937953,0.00594243268337976,1.05774331769027,12.5659265081548,51452.2228451296,1.04773295342895,1757.16976173791
08-24,5190,0.878780604896783,0.00592738947888367,0.109710241097102,0.00476758045292014,1.05631899076369,11.736391571554,58003.7460500963,-0.783929543459173,1748.4161849711
08-25,5270,0.845226843100189,0.00299925018745314,0.106606942889138,0.00234466588511137,1.09765001140771,11.5124803238138,51351.2962049336,-1.18241488644029,1498.7889943074
08-26,4479,0.861830299923097,0.00524861878453039,0.0979458917835671,0.00444652468991341,1.07872395163365,11.4913151364764,71351.7963831212,-1.29574540942928,1694.23152489395
08-27,2348,0.858600583090379,0.010459035444509,0.172899465760078,0.00804649083594099,1.05059665871122,12.5593692022263,92044.7742759796,0.483383116883117,1349.31601362862
08-28,2310,0.851322751322751,0.0110144927536232,0.175845410628019,0.00853548966756514,1.04582338902148,12.4415285451197,83008.141991342,0.582828729281768,1402.17575757576
08-29,4984,0.884177368548583,0.00270735909426532,0.0971479500891266,0.00228452751817238,1.07328174783796,11.6644280277591,80982.3057784912,-1.11143193013883,1490.50822632424
08-30,5618,0.878112402181646,0.00310336595846264,0.104439202230324,0.00274725274725275,1.05499664654594,11.7837004405286,56103.6441794233,-1.2731627753304,1916.2878248487
